source_type,source_id,source_slug,locale,status,quality_score,machine_model
"scholarship_detail","2e3b1074-feab-4c2b-976a-bdd5dd9e3cb4","ruff-ryders-of-raleigh-scholarship-giveaway-ruff-ryders-of-raleigh-scholarsh","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2e3b1074-feab-4c2b-976a-bdd5dd9e3cb4","ruff-ryders-of-raleigh-scholarship-giveaway-ruff-ryders-of-raleigh-scholarsh","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","48923abb-6df6-4863-8d5f-c6193ecddce0","johnston-scholarship-op0lghmxctno","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","48923abb-6df6-4863-8d5f-c6193ecddce0","johnston-scholarship-op0lghmxctno","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","0808c0dd-692e-4b55-9441-6a72de0f11b7","les-kennedy-scholarship-rgbjvtljm6el","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","0808c0dd-692e-4b55-9441-6a72de0f11b7","les-kennedy-scholarship-rgbjvtljm6el","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","66d7f859-2e07-486e-9bd5-a95d65892a40","jacquelyn-burroughs-dial-memorial-scholarship-xhbimmpdgsvl","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","66d7f859-2e07-486e-9bd5-a95d65892a40","jacquelyn-burroughs-dial-memorial-scholarship-xhbimmpdgsvl","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2bc4f3c0-a2d0-49e0-8e79-22f5bd9050f9","oertel-baseball-scholarship-s3jtbxjwqvii","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2bc4f3c0-a2d0-49e0-8e79-22f5bd9050f9","oertel-baseball-scholarship-s3jtbxjwqvii","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2dea2953-87dc-465c-955c-b3fe72ed4dbd","pearl-elegance-foundation-scholarships-pearl-elegance-foundation-schola","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2dea2953-87dc-465c-955c-b3fe72ed4dbd","pearl-elegance-foundation-scholarships-pearl-elegance-foundation-schola","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","40d7abac-cf8e-4f83-91d7-62be41e1530d","tinsley-floyd-athletic-book-scholarship-nqqxdagoisqr","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","40d7abac-cf8e-4f83-91d7-62be41e1530d","tinsley-floyd-athletic-book-scholarship-nqqxdagoisqr","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","b0b673cf-7cff-4e9b-99eb-74f5bb01c848","tsc-chapter-of-the-afc-scholarship-h7fkgokty26b","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","b0b673cf-7cff-4e9b-99eb-74f5bb01c848","tsc-chapter-of-the-afc-scholarship-h7fkgokty26b","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","04b7eb81-f6eb-4db4-b1d5-1ae2d4a9ab4c","new-start-david-nancy-lawrence-scholarship-ki6cihhcfg4h","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","04b7eb81-f6eb-4db4-b1d5-1ae2d4a9ab4c","new-start-david-nancy-lawrence-scholarship-ki6cihhcfg4h","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2dcf1926-b4c9-404c-bd00-af077d2a5c80","dell-scholars-program-scholarships-com-dell-scholars-program","es","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
"scholarship_detail","2dcf1926-b4c9-404c-bd00-af077d2a5c80","dell-scholars-program-scholarships-com-dell-scholars-program","fr","published","90","stage5e-scholarship-autopilot-relaxed-wave-115"
